Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\YoutubeLinks.Api.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Emails\EmailExtensions.cs,12,8,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<EmailOptions>(configuration.GetRequiredSection(_sectionName));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Extensions\MediatRExtensions.cs,11,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.AddMediatR(config =>          {              config.RegisterServicesFromAssembly(Assembly.GetExecutingAssembly());              config.AddOpenBehavior(typeof(LoggingBehavior<,>));              config.AddOpenBehavior(typeof(ValidationBehavior<,>));              config.AddOpenBehavior(typeof(UnitOfWorkBehavior<,>));          });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Extensions\MyCorsExtensions.cs,14,8,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<AuthOptions>(configuration.GetRequiredSection(_sectionName));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Logging\LoggingExtensions.cs,14,8,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<LogOptions>(configuration.GetRequiredSection(_sectionName));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,33,16,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"x.TokenValidationParameters = new TokenValidationParameters                  {                      ValidIssuer = authOptions.Issuer,                      ClockSkew = TimeSpan.Zero,                      IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(authOptions.SigningKey))                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,32,16,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.IncludeErrorDetails,,,,,x.IncludeErrorDetails = true;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,31,16,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.Audience,,,,,x.Audience = authOptions.Audience;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,27,16,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,x.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,27,16,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,x.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,26,16,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,x.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,26,16,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,x.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,YoutubeLinks.Api\YoutubeLinks.Api.csproj,File,YoutubeLinks.Api\Auth\AuthExtensions.cs,23,8,T:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions,,,,,"services              .AddAuthentication(x =>              {                  x.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;                  x.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;              })              .AddJwtBearer(x =>              {                  x.Audience = authOptions.Audience;                  x.IncludeErrorDetails = true;                  x.TokenValidationParameters = new TokenValidationParameters                  {                      ValidIssuer = authOptions.Issuer,                      ClockSkew = TimeSpan.Zero,                      IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(authOptions.SigningKey))                  };              });"
